trade,price_enter,price_exit,gross_return,enter_period,exit_period
234,136.97,135.7587,0.9911564576184566,30118,30126
235,134.44,133.54109999999997,0.9933137459089555,30240,30251
236,133.02,132.38,0.9951886934295594,30394,30414
237,125.08,125.1558,1.0006060121522227,30872,30875
238,126.01,128.64,1.0208713594159193,31042,31062
239,122.13,123.7005,1.0128592483419308,31195,31207
240,122.92,123.84,1.0074845427920598,31343,31363
241,125.96,125.36,0.9952365830422357,31413,31433
242,125.09,124.8,0.9976816691981772,31567,31587
243,124.35,123.5916,0.9939010856453558,31672,31692
244,123.36,122.74,0.9949740596627756,31818,31838
245,123.69,126.225,1.0204947853504729,31914,31925
246,129.21,129.88799999999998,1.005247271882981,31927,31929
247,130.85,130.58100000000002,0.9979442109285444,32393,32399
248,132.9,132.47,0.9967644845748683,32464,32484
249,132.29,134.15,1.014060019653791,32566,32586
250,135.43,135.24,0.9985970612124345,32766,32786
251,134.25,133.3431,0.9932446927374301,32873,32883
252,134.53,133.61,0.9931613766446147,32960,32980
253,135.95,136.92,1.0071349760941521,33042,33062
254,136.94,140.07510000000002,1.0228939681612386,33120,33138
255,142.82,141.9264,0.9937431732250386,33142,33144
256,141.15,140.0157,0.9919638682252923,33345,33352
257,136.21,136.84,1.0046252110711402,33747,33767
258,138.76,139.48,1.0051888152205246,33822,33842
259,137.76,137.83,1.000508130081301,34085,34105
260,138.72,140.2434,1.0109818339100347,34113,34122
261,138.3,137.55,0.9945770065075922,34385,34405
262,138.46,138.31,0.9989166546294959,34479,34499
263,138.01,139.07,1.0076806028548657,34575,34595
264,141.55,140.58,0.993147297774638,34630,34646
265,135.52,136.61010000000002,1.0080438311688311,34885,34893
266,135.72,135.81,1.0006631299734747,35030,35050
267,135.34,134.92,0.9968967045958326,35345,35365
268,136.9,137.53,1.0046018991964938,35512,35532
269,137.05,136.07,0.9928493250638452,35579,35599
270,135.5,136.21,1.005239852398524,35662,35682
271,136.45,136.5,1.0003664345914256,35724,35744
272,137.58,137.57,0.9999273150167174,35752,35772
273,135.75,135.24,0.996243093922652,36095,36115
274,134.97,135.08,1.0008149959250205,36144,36164
275,136.15,135.65,0.9963275798751378,36190,36210
276,134.71,134.6,0.9991834310741592,36249,36269
277,135.52,134.343,0.991314935064935,36322,36325
278,134.56,133.95,0.9954667063020213,36403,36423
279,134.82,134.66,0.9988132324580923,36600,36620
280,135.2,135.75,1.0040680473372783,36702,36722
281,137.47,138.3426,1.0063475667418347,36907,36923
